subtitle_filename,year,formal_institutions_incl_military,formal_institutions_incl_military_confidence,formal_institutions_excl_military,formal_institutions_excl_military_confidence,military_institutions,military_institutions_confidence,informal_cultural_norms,informal_cultural_norms_confidence,informal_relationships,informal_relationships_confidence,informal_overall,informal_overall_confidence
1984_Terms.of.Endearment.1983.720p.BluRay.X264-AMIABLE,1984,0.461,0.631,0.441,0.631,0.5,0.608,0.647,0.746,0.764,0.869,0.721,0.823
2022_Top.Gun.Maverick.2022.KORSUB.IMAX.1080p.WEBRip.AAC2.0.x264-SHITBOX,2022,0.573,0.8,0.484,0.736,0.715,0.864,0.649,0.745,0.748,0.845,0.72,0.836
2013_The.Hunger.Games.Catching.Fire.2013.IMAX.EDITION.720p.BluRay.x264-PublicHD,2013,0.255,0.8,0.182,0.8,0.355,0.773,0.553,0.709,0.673,0.8,0.584,0.782
1997_Batman.and.Robin.1997.1080p.BluRay.x264-CULTHD.ENG,1997,0.467,0.612,0.451,0.612,0.5,0.6,0.485,0.6,0.516,0.612,0.5,0.6
2001_Monsters.Inc.2001.BluRay.1080p.DTS.x264.dxva-EuReKA.ENG,2001,0.5,0.655,0.478,0.655,0.535,0.627,0.7,0.8,0.8,0.9,0.741,0.85
1984_The.Karate.Kid.1984.1080p.BluRay.x264-CiNEFiLE.ENG,1984,0.45,0.64,0.425,0.64,0.5,0.62,0.69,0.81,0.79,0.9,0.755,0.865
2004_The.Day.After.Tomorrow.2004.1080p.BluRay.x264-MUVI.eng,2004,0.291,0.8,0.191,0.8,0.491,0.7,0.6,0.7,0.7,0.8,0.605,0.8
2024_Deadpool.and.Wolverine,2024,0.47,0.613,0.454,0.613,0.484,0.62,0.525,0.62,0.582,0.667,0.548,0.65
2004_Spider-Man.2.1.2004.720p.BluRay.DTS.x264-ESiR.ENG,2004,0.388,0.711,0.325,0.711,0.5,0.656,0.627,0.733,0.693,0.8,0.628,0.789
1980_Private.Benjamin.1980.720p.HDTVRip.XviD.AC3-RARBG.eng,1980,0.338,0.767,0.247,0.756,0.465,0.767,0.554,0.7,0.526,0.733,0.517,0.733
2014_Transformers.Age.of.Extinction.2014.720p.BluRay.x264-BLOW,2014,0.219,0.8,0.119,0.8,0.35,0.8,0.507,0.656,0.627,0.744,0.55,0.706
2001_Shrek,2001,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.79,0.889,0.741,0.839
2016_Finding.Dory.2016.720p.BluRay.X264-AMIABLE,2016,0.5,0.608,0.5,0.608,0.5,0.6,0.715,0.8,0.815,0.9,0.789,0.873
2009_Transformers.Revenge.of.the.Fallen.IMAX.Edition.2009.1080p.BluRay.DTS.x264-DON.ENG,2009,0.404,0.731,0.339,0.712,0.54,0.744,0.552,0.675,0.658,0.756,0.58,0.737
2002_Star.Wars.Episode.II.Attack.of.the.Clones.(2002).DVDRip.XviD-UnSeeN,2002,0.338,0.767,0.246,0.767,0.5,0.733,0.568,0.689,0.689,0.8,0.589,0.789
1986_Star Trek 04 Voyage Home 1986 1280x544.eng,1986,0.461,0.683,0.411,0.675,0.542,0.692,0.658,0.75,0.769,0.867,0.687,0.8
1998_Armageddon.1998.BluRay.1080p.DTSMA.x264.dxva-SuBoXoNe.ENG,1998,0.467,0.615,0.454,0.615,0.487,0.61,0.512,0.605,0.579,0.655,0.54,0.635
1996_Independence.Day.1996.1080p.BluRay.DTS.x264-HDME.ENG,1996,0.477,0.664,0.442,0.65,0.578,0.7,0.542,0.636,0.591,0.671,0.562,0.661
2014_Captain.America.The.Winter.Soldier.2014.720p.BluRay.x264-SPARKS,2014,0.255,0.8,0.155,0.8,0.452,0.745,0.584,0.682,0.684,0.782,0.586,0.764
1987_Beverly.Hills.Cop.II.1987.720p.BluRay.x264.DTS-WiKi.eng,1987,0.3,0.8,0.2,0.8,0.5,0.692,0.567,0.7,0.677,0.792,0.585,0.792
2021_F9. The. Fast. Saga. 2021. THEATRICAL. 1080p. BluRay. x264-RUSTED,2021,0.414,0.673,0.37,0.673,0.467,0.664,0.561,0.655,0.682,0.773,0.622,0.736
1997_George Of The Jungle (1997).en,1997,0.5,0.59,0.5,0.59,0.5,0.59,0.526,0.61,0.675,0.75,0.603,0.685
1996_The.Nutty.Professor.1996.720p.DVD5.HDDVD.x264-hV.English,1996,0.447,0.643,0.42,0.643,0.5,0.607,0.491,0.629,0.615,0.743,0.542,0.693
1988_Who.Framed.Roger.Rabbit.1988.720p.BluRay.x264-HD4U,1988,0.367,0.72,0.304,0.69,0.5,0.64,0.662,0.77,0.742,0.85,0.676,0.81
2009_Up.2009.480p.BRRip.XviD.AC3-ViSiON,2009,0.43,0.657,0.396,0.657,0.5,0.629,0.7,0.8,0.8,0.9,0.757,0.871
1990_The.Hunt.For.Red.October.1990.720p.HDDVD.x264-SiNNERS.ENG,1990,0.482,0.8,0.377,0.782,0.602,0.845,0.63,0.727,0.71,0.809,0.661,0.805
2011_Cars.2.720p.BluRay.x264.REPACK-METiS.eng,2011,0.481,0.646,0.435,0.654,0.548,0.654,0.672,0.769,0.772,0.869,0.68,0.792
2022_Doctor.Strange.in.the.Multiverse.of.Madness.2022.1080p.WEB-DL.DDP5.1.Atmos.H.264,2022,0.34,0.75,0.26,0.75,0.5,0.675,0.526,0.675,0.633,0.75,0.553,0.75
1995_Batman. Forever. 1995. 1080p. BluRay. x264-CULTHD. ENG,1995,0.288,0.8,0.187,0.787,0.487,0.7,0.388,0.725,0.588,0.8,0.489,0.787
1979_Star Trek - The Motion Picture,1979,0.531,0.65,0.514,0.637,0.565,0.675,0.528,0.625,0.66,0.75,0.593,0.7
2025_One.Of.Them.Days,2025,0.327,0.743,0.248,0.75,0.508,0.607,0.456,0.693,0.595,0.786,0.524,0.721
1990_Ghost,1990,0.478,0.591,0.468,0.591,0.5,0.582,0.512,0.618,0.609,0.691,0.558,0.659
1999_Toy.Story.2.1999.DVDRip.XviD-ShitBusters,1999,0.5,0.6,0.5,0.6,0.5,0.6,0.686,0.782,0.792,0.891,0.753,0.85
2010_nedivx-shrek4.en,2010,0.411,0.675,0.367,0.675,0.486,0.637,0.512,0.65,0.616,0.725,0.561,0.688
2002_Austin.Powers.in.Goldmember.2002.720p.BluRay.x264-REVEiLLE.ENG,2002,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.58,0.667,0.537,0.633
1987_Fatal Attraction 1987 1080p BluRay Remux AVC TrueHD 5. 1 COMM-KESH. EN 23. 976,1987,0.271,0.7,0.191,0.7,0.5,0.62,0.393,0.7,0.286,0.76,0.307,0.76
2025_Captain.America.Brave.New.World,2025,0.3,0.8,0.2,0.8,0.47,0.727,0.5,0.691,0.647,0.782,0.557,0.764
2018_Jurassic World Fallen Kingdom (2018) 720p English HDCAM-Rip - x264 - MP3 750MB,2018,0.3,0.8,0.2,0.8,0.411,0.775,0.54,0.65,0.64,0.75,0.584,0.744
1992_A LEAGUE OF THEIR OWN [1992][MP3][DVDRIP-M333]-FLAWL3SS,1992,0.5,0.609,0.5,0.609,0.5,0.609,0.7,0.8,0.8,0.9,0.756,0.855
2019_Spider-Man.Far.From.Home.2019.V3.1080p.NEW.HDTC.H264.AC3.ADDS.CUT.BLURRED.Will1869,2019,0.397,0.715,0.329,0.715,0.517,0.669,0.607,0.7,0.725,0.815,0.628,0.781
1985_Police.Academy.2.Their.First.Assignment.1985.720p.BluRay.FLAC.x264-CtrlHD,1985,0.289,0.8,0.189,0.8,0.5,0.7,0.533,0.7,0.667,0.8,0.568,0.789
1977_Saturday.Night.Fever.1977.720p.BluRay.x264-CiNEFiLE.ENG,1977,0.293,0.8,0.2,0.8,0.5,0.679,0.393,0.807,0.291,0.829,0.3,0.821
2010_Avatar.(2009).BDRip.AC3.XviD-D-Z0N3,2010,0.223,0.8,0.168,0.791,0.277,0.8,0.66,0.773,0.709,0.773,0.681,0.773
2010_The.Twilight.Saga.Eclipse.720p.Bluray.x264-CBGB.eng,2010,0.5,0.6,0.5,0.6,0.5,0.6,0.614,0.7,0.753,0.85,0.671,0.765
1990_Die.Hard.2.1990.1080p.BluRay.x264-WPi.ENG,1990,0.25,0.8,0.158,0.8,0.342,0.8,0.509,0.625,0.627,0.733,0.548,0.708
2011_Fast.Five.2011.720p.BluRay.x264.DTS-WiKi.eng,2011,0.3,0.8,0.2,0.8,0.5,0.7,0.6,0.711,0.724,0.822,0.629,0.811
2012_The.Dark.Knight.Rises.2012.720p.BluRay.x264-SPARKS,2012,0.264,0.8,0.164,0.8,0.439,0.75,0.421,0.693,0.594,0.771,0.498,0.764
2012_The.Avengers.2012.DVDRip.X264.AC3-NYDIC,2012,0.453,0.708,0.408,0.717,0.519,0.708,0.546,0.658,0.62,0.717,0.564,0.708
1984_Police.Academy.1984.720p.BluRay.X264-AMIABLE,1984,0.238,0.8,0.138,0.8,0.5,0.7,0.475,0.7,0.638,0.8,0.544,0.787
1984_Romancing.the.Stone.1984.720p.BluRay.x264-ESiR.ENG,1984,0.326,0.767,0.239,0.767,0.413,0.767,0.585,0.683,0.7,0.8,0.651,0.783
1987_Three Men and a Baby,1987,0.5,0.6,0.492,0.607,0.508,0.607,0.6,0.686,0.759,0.843,0.69,0.768
1989_Ghostbusters.II.1989.720p.BluRay.X264-AMIABLE-HI,1989,0.311,0.786,0.213,0.793,0.507,0.7,0.586,0.7,0.693,0.8,0.593,0.793
1977_The.Deep.1977.1080p.BluRay.4xRus.Eng.HDCLUB.ENG,1977,0.346,0.743,0.269,0.743,0.5,0.671,0.515,0.671,0.58,0.729,0.547,0.729
1981_Excalibur,1981,0.43,0.657,0.4,0.643,0.535,0.657,0.565,0.657,0.6,0.686,0.567,0.686
1989_Honey.I.Shrunk.The.Kids.1989.DVDRip.XviD.ENG,1989,0.5,0.6,0.5,0.6,0.5,0.6,0.681,0.775,0.765,0.863,0.722,0.819
2001_Harry.Potter.and.the.Philosophers.Stone.2001.720p.HDDVD.DTS.x264-ESiR.ENG,2001,0.5,0.64,0.5,0.64,0.5,0.6,0.685,0.78,0.779,0.87,0.717,0.81
1980_Coal Miners Daughter (1980) HDTV 2h 4m 8s @23.976fps.ENG-Hi,1980,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.8,0.9,0.746,0.846
1993_Few Good Men (1992).DVD.NonHI.pcc.en.CLMB,1993,0.255,0.8,0.155,0.8,0.39,0.8,0.56,0.7,0.571,0.73,0.542,0.73
2025_Sinners,2025,0.431,0.623,0.424,0.615,0.449,0.608,0.49,0.608,0.492,0.615,0.491,0.615
2023_The.Little.Mermaid.2023.1080p.WEB-DL.DDP5.1.Atmos.H.264 (v3),2023,0.5,0.6,0.5,0.6,0.5,0.6,0.66,0.75,0.756,0.842,0.685,0.775
2009_The.Hangover.DVDRip.XviD-DoNE,2009,0.427,0.654,0.4,0.654,0.5,0.608,0.483,0.631,0.611,0.723,0.541,0.669
2006_Happy.Feet.2006.1080p.BD9.x264-IGUANA.ENG,2006,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.8,0.9,0.746,0.845
2001_Rush.Hour.2.2001.720p.BluRay.X264-AMIABLE,2001,0.406,0.68,0.361,0.67,0.5,0.64,0.544,0.64,0.614,0.7,0.562,0.69
2015_The.Martian.2015.720p.BluRay.x264-SPARKS,2015,0.666,0.792,0.572,0.769,0.762,0.831,0.7,0.8,0.793,0.885,0.781,0.881
2004_Shrek.2.2004.720p.BluRay.x264-MELiTE.eng,2004,0.427,0.66,0.391,0.66,0.5,0.63,0.656,0.75,0.763,0.86,0.683,0.81
2025_A. Minecraft. Movie,2025,0.5,0.6,0.5,0.6,0.5,0.6,0.555,0.644,0.691,0.778,0.621,0.711
2008_devise-twilight.en,2008,0.5,0.582,0.5,0.582,0.5,0.582,0.5,0.582,0.524,0.6,0.511,0.591
2024_Kung. Fu. Panda. 4,2024,0.5,0.6,0.5,0.6,0.5,0.6,0.55,0.64,0.659,0.74,0.602,0.69
1995_Apollo.13.1995.DVDRip.Xvid.AC3-GoRDo.ENG,1995,0.773,0.871,0.671,0.794,0.871,0.9,0.741,0.8,0.836,0.894,0.83,0.894
2001_Hannibal.2001.1080p.BluRay.x264-iKA.ENG,2001,0.476,0.609,0.464,0.609,0.5,0.6,0.489,0.6,0.512,0.609,0.5,0.6
2022_The.Batman.2022.HDRip.850MB.c1nem4.x264-SUNSCREEN,2022,0.231,0.8,0.131,0.8,0.491,0.631,0.329,0.785,0.459,0.777,0.359,0.785
2020_Bad.Boys.for.Life.2020.1080p.HDRip.X264.AC3-EVO,2020,0.313,0.775,0.22,0.758,0.481,0.708,0.457,0.675,0.626,0.783,0.53,0.742
1980_Nine to Five,1980,0.465,0.618,0.379,0.664,0.5,0.573,0.427,0.673,0.484,0.673,0.448,0.664
2001_Planet.of.the.Apes.2001.BluRay.720p.x264.DTS-MySiLU.eng,2001,0.28,0.8,0.2,0.8,0.38,0.8,0.544,0.64,0.605,0.74,0.564,0.74
2000_Erin Brokovich.2000.BluRay.1080p.x264-HQF.ENG,2000,0.428,0.769,0.34,0.769,0.612,0.662,0.7,0.8,0.778,0.846,0.724,0.808
1982_Rocky III,1982,0.476,0.618,0.465,0.618,0.5,0.609,0.663,0.755,0.766,0.864,0.718,0.814
2000_Meet.the.Parents.2000.HD-DVD-Rip.x264.1080p.DTS-de[42].ENG,2000,0.438,0.65,0.408,0.65,0.5,0.625,0.567,0.658,0.626,0.708,0.591,0.696
2013_Monsters University,2013,0.5,0.6,0.5,0.6,0.5,0.6,0.685,0.78,0.782,0.88,0.723,0.82
2019_Aladdin.2019.720p.WEB-DL.x264.AAC-BonsaiHD,2019,0.437,0.636,0.41,0.636,0.491,0.621,0.559,0.643,0.62,0.7,0.589,0.686
1993_In.the.Line.of.Fire.1993.Blu-ray.720p.x264.DD51-HiS@SiLUHD.ENG,1993,0.317,0.778,0.226,0.756,0.5,0.7,0.41,0.689,0.591,0.778,0.5,0.744
1997_Titanic.1997.720p.BluRay.X264-AMIABLE,1997,0.455,0.629,0.445,0.629,0.484,0.614,0.534,0.629,0.634,0.714,0.578,0.675
2020_Sonic.The.Hedgehog.2020.720p.WEBRip.x264.AAC-.YTS.MX,2020,0.5,0.6,0.5,0.6,0.5,0.6,0.526,0.62,0.628,0.71,0.574,0.665
2022_Minions.The.Rise.Of.Gru.2022.1080p.AMZN.WEB-DL.DDP5.1.H.264-CMRG,2022,0.45,0.64,0.425,0.64,0.5,0.62,0.633,0.72,0.763,0.86,0.686,0.8
1977_The Turning Point 1977 720p BRRip x264-PLAYNOW,1977,0.5,0.6,0.5,0.6,0.5,0.6,0.55,0.64,0.633,0.72,0.588,0.68
2025_Dog.Man,2025,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.532,0.625,0.514,0.612
2018_The.Incredibles.2.2018.HDTC.Versions,2018,0.367,0.738,0.291,0.731,0.508,0.669,0.641,0.754,0.741,0.854,0.659,0.812
2018_Jumanji.Welcome.to.the.Jungle.2017.1080p.WEB-DL.DD5.1.H264-FGT,2018,0.5,0.6,0.5,0.6,0.5,0.6,0.674,0.767,0.785,0.883,0.725,0.821
2019_It.Chapter.Two.2019.HDRip.XviD.AC3-EVO,2019,0.433,0.643,0.408,0.643,0.5,0.621,0.5,0.657,0.586,0.7,0.552,0.686
1992_Basic.Instinct.1992.720p.HDDVD.x264-ESiR,1992,0.3,0.8,0.2,0.8,0.5,0.62,0.4,0.71,0.3,0.78,0.3,0.78
1989_Indiana.Jones.And.The.Last.Crusade.(1989).DVDRiP.XViD-DEiTY,1989,0.438,0.65,0.408,0.65,0.5,0.625,0.611,0.7,0.709,0.8,0.638,0.756
1983_Mr. Mom. 1983. DVDRip. x264-NoRBiT,1983,0.5,0.6,0.5,0.6,0.5,0.6,0.633,0.72,0.753,0.85,0.68,0.775
2020_Dolittle.2020.HDRip.800MB.x264-GalaxyRG,2020,0.475,0.64,0.444,0.64,0.522,0.63,0.611,0.71,0.715,0.8,0.644,0.745
1996_The.Rock.1996.CRiTERiON.DVDRip.XviD.AC3-UnSeeN,1996,0.243,0.8,0.15,0.8,0.4,0.8,0.546,0.657,0.653,0.75,0.572,0.736
1989_Parenthood (1989),1989,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.793,0.892,0.751,0.85
2011_The. Hangover. Part. II. 2011. 720p. BrRip. x264. YIFY,2011,0.48,0.615,0.47,0.615,0.5,0.608,0.511,0.623,0.598,0.692,0.551,0.662
1996_Ransom,1996,0.32,0.721,0.281,0.721,0.492,0.614,0.415,0.664,0.454,0.7,0.414,0.693
2017_Wonder.Woman.2017.720p.BluRay.x264-SPARKS,2017,0.395,0.673,0.364,0.673,0.447,0.691,0.559,0.709,0.654,0.745,0.585,0.727
2019_Frozen.II.2019.DVDScr.XVID.AC3.HQ.Hive-CM8,2019,0.407,0.69,0.374,0.7,0.452,0.69,0.7,0.81,0.8,0.9,0.732,0.84
1998_Saving.Private.Ryan.720p.HDTV.Premiere.DTS.x264-ESiR,1998,0.333,0.8,0.24,0.783,0.458,0.8,0.628,0.725,0.7,0.8,0.633,0.8
2017_Guardians.of.the.Galaxy.Vol.2.2017.720p.BluRay.x264-SPARKS,2017,0.5,0.6,0.5,0.6,0.5,0.6,0.686,0.782,0.775,0.873,0.711,0.809
2014_The.Amazing.Spider-Man.2.2014.720p.BluRay.x264-BLOW,2014,0.37,0.717,0.305,0.717,0.5,0.658,0.58,0.683,0.657,0.75,0.592,0.737
1989_Rain Man (1988).eng,1989,0.425,0.669,0.388,0.669,0.5,0.631,0.616,0.706,0.718,0.813,0.662,0.772
1997_Air.Force.One.1997.720p.BRrip.x264.YIFY,1997,0.54,0.791,0.435,0.736,0.683,0.809,0.531,0.682,0.627,0.755,0.578,0.727
2024_It.Ends.With.Us,2024,0.322,0.75,0.26,0.75,0.5,0.658,0.373,0.792,0.24,0.883,0.285,0.867
1981_The Four Seasons (1981),1981,0.5,0.6,0.5,0.6,0.5,0.6,0.517,0.613,0.362,0.74,0.442,0.677
1990_Driving Miss Daisy,1990,0.472,0.633,0.458,0.633,0.5,0.611,0.689,0.8,0.8,0.9,0.784,0.894
2004_Shark Tale.en,2004,0.5,0.6,0.5,0.6,0.5,0.6,0.656,0.745,0.757,0.855,0.69,0.786
2021_Venom.Let.There.Be.Carnage.2021.HDRip.XviD.AC3-EVO,2021,0.317,0.767,0.226,0.767,0.489,0.689,0.42,0.678,0.489,0.778,0.43,0.767
2006_Cars.2006.BRRip.XviD.AC3.D-Z0N3,2006,0.5,0.585,0.5,0.585,0.5,0.585,0.5,0.585,0.618,0.677,0.561,0.638
2012_MSAR. EN2,2012,0.5,0.6,0.5,0.6,0.5,0.6,0.683,0.778,0.79,0.889,0.742,0.839
1990_Home.Alone.1990.1080p.BluRay.x264-HD1080.ENG,1990,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.789,0.888,0.719,0.819
1994_The.Flintstones.1994.720p.BluRay.x264-TRiPS,1994,0.5,0.6,0.477,0.61,0.5,0.6,0.582,0.67,0.663,0.79,0.634,0.74
2014_The.Lego.Movie.2014.BluRay.720p.x264.DTS-HDWinG,2014,0.427,0.629,0.427,0.629,0.453,0.614,0.648,0.771,0.774,0.879,0.689,0.807
2000_X-Men ;[2000];[1080p];[Shadowl0rd].ENG,2000,0.42,0.667,0.38,0.667,0.5,0.633,0.537,0.633,0.614,0.7,0.566,0.683
2013_Gravity.2013.BluRay.720p.x264.DTS-HDWinG,2013,0.5,0.586,0.5,0.586,0.5,0.586,0.5,0.586,0.5,0.586,0.5,0.586
2024_Ghostbusters.Frozen.Empire,2024,0.5,0.61,0.467,0.63,0.533,0.63,0.631,0.72,0.729,0.82,0.658,0.75
1996_A.Time.To.Kill.1996.1080p.BluRay.x264-VOA,1996,0.294,0.8,0.194,0.8,0.5,0.662,0.518,0.775,0.657,0.806,0.576,0.794
1984_Footloose dvd rip[eng]XviD.Rets.en,1984,0.3,0.8,0.2,0.8,0.5,0.644,0.445,0.789,0.635,0.822,0.547,0.8
2006_Ice.Age.2.The.Meltdown.1080p.BluRay.DTS.x264-ESiR.ENG,2006,0.5,0.6,0.5,0.6,0.5,0.6,0.614,0.7,0.753,0.85,0.693,0.783
